protein1_id	protein2_id	gene1	gene2	sources	hpa_datasets	gold_record_count	methods	publications	supporting_structures	n_ddi	n_dmi	ddi	dmi
P28702	Q13133	RXRB	NR1H3	CORUM;Human Protein Atlas (HPA);PDB	intact_biogrid	1	X-ray;coimmunoprecipitation	26389695	1UHL	4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P28702	Q15596	RXRB	NCOA2	PDB		1	X-ray		1UHL;5I4V;7A78	2	1	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF16279(Nuclear receptor coactivator 2/3, DUF4927)[pdb=2]	Q15596:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
P29374	Q13547	ARID4A	HDAC1	Human Protein Atlas (HPA)	biogrid_opencell_bioplex	0				0	0		
P29374	Q16576	ARID4A	RBBP7	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
P29374	Q92769	ARID4A	HDAC2	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
P29374	Q9H160	ARID4A	ING2	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
P29374	Q9HCU9	ARID4A	BRMS1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P29375	P68431	KDM5A	H3C1	PDB		1	NMR;X-ray		5C11;7KLR	0	0		
P29375	Q06330	KDM5A	RBPJ	BioGRID		1	Reconstituted Complex	20231316		0	0		
P29375	Q16576	KDM5A	RBBP7	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
P29375	Q8WUU5	KDM5A	GATAD1	Human Protein Atlas (HPA)	biogrid_opencell_bioplex	0				0	0		
P31260	P40424	HOXA10	PBX1	BioGRID		1	Reconstituted Complex	14512427		0	0		
P31260	Q92793	HOXA10	CREBBP	BioGRID		1	Reconstituted Complex	11585930		0	0		
P31269	P40424	HOXA9	PBX1	BioGRID		1	Reconstituted Complex	10082572		0	0		
P31269	P40425	HOXA9	PBX2	BioGRID		1	Reconstituted Complex	10082572		0	0		
P31269	P40426	HOXA9	PBX3	BioGRID		1	Reconstituted Complex	10082572		0	0		
P31269	Q13619	HOXA9	CUL4A	BioGRID		1	Reconstituted Complex	14609952		0	0		
P31269	Q92793	HOXA9	CREBBP	BioGRID		1	Reconstituted Complex	11585930		0	0		
P31273	P40424	HOXC8	PBX1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P31273	P56178	HOXC8	DLX5	BioGRID		1	Reconstituted Complex	9111364		0	0		
P31273	Q07687	HOXC8	DLX2	BioGRID		1	Reconstituted Complex	9111364		0	0		
P31273	Q15797	HOXC8	SMAD1	BioGRID		1	Reconstituted Complex	10224145		0	0		
P31314	P40425	TLX1	PBX2	CORUM		0	two hybrid	19559479		0	0		
P31314	P67775	TLX1	PPP2CA	BioGRID		1	Reconstituted Complex	9009195		0	0		
P31314	Q04724	TLX1	TLE1	BioGRID		1	Reconstituted Complex	19250647		0	0		
P31946	P62258	YWHAB	YWHAE	BioGRID;Human Protein Atlas (HPA);PDB	intact_biogrid_opencell	2	EM;Reconstituted Complex	30135474	8DP5	1	0	PF00244(14-3-3 domain)--PF00244(14-3-3 domain)[pdb=369]	
P31946	P63104	YWHAB	YWHAZ	Human Protein Atlas (HPA)	biogrid_opencell	0				1	0	PF00244(14-3-3 domain)--PF00244(14-3-3 domain)[pdb=369]	
P31946	P68400	YWHAB	CSNK2A1	Human Protein Atlas (HPA)	intact_biogrid_opencell	0				0	0		
P31946	P85037	YWHAB	FOXK1	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
P31946	Q12778	YWHAB	FOXO1	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
P31946	Q13111	YWHAB	CHAF1A	BioGRID;Human Protein Atlas (HPA)	biogrid_opencell	1	Reconstituted Complex	21209461		0	0		
P31946	Q9UK53	YWHAB	ING1	BioGRID		1	Reconstituted Complex	16581770		0	0		
P31946	Q9ULJ3	YWHAB	ZBTB21	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
P31946	Q9UQL6	YWHAB	HDAC5	Human Protein Atlas (HPA)	biogrid_opencell	0				0	1		Q9UQL6:LIG_14-3-3_CanoR_1--PF00244(14-3-3 domain)
P31946	Q9Y580	YWHAB	RBM7	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
P32243	P48742	OTX2	LHX1	BioGRID		1	Reconstituted Complex	10623575		1	0	PF00046(Homeodomain)--PF00046(Homeodomain)[pdb=77]	
P32243	Q9Y261	OTX2	FOXA2	BioGRID		2	Reconstituted Complex	10623575;12642491		0	0		
P32314	Q93009	FOXN2	USP7	BioGRID		1	Reconstituted Complex	21845734		0	0		
P32519	P85037	ELF1	FOXK1	PDB		1	X-ray		8BZM	1	0	PF00178(Ets domain)--PF00250(Fork head domain)[pdb=1]	
P32519	Q01196	ELF1	RUNX1	BioGRID		1	Reconstituted Complex	10207087		0	0		
P32519	Q04864	ELF1	REL	BioGRID		1	Reconstituted Complex	7862168		0	0		
P33778	P62805	H2BC3	H4C1	PDB		1	EM;X-ray		3X1S;3X1U;9FGQ	1	0	PF00125(Core Histone H2A/H2B/H3 domain)--PF15511(CENP-T/Histone H4, histone fold)[pdb=4715]	
P33778	Q15906	H2BC3	VPS72	PDB		1	EM		9C62	1	0	PF00125(Core Histone H2A/H2B/H3 domain)--PF05764(Vps72/YL1, N-terminal)[pdb=14]	
P33778	Q6FI13	H2BC3	H2AC18	PDB		1	EM		9FGQ	2	0	PF00125(Core Histone H2A/H2B/H3 domain)--PF00125(Core Histone H2A/H2B/H3 domain)[pdb=3260] | PF00125(Core Histone H2A/H2B/H3 domain)--PF16211(Histone H2A, C-terminal domain)[pdb=4522]	
P35226	P51784	BMI1	USP11	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	20601937		0	0		
P35226	P61077	BMI1	UBE2D3	BioGRID;PDB		7	Co-crystal Structure;Reconstituted Complex;X-ray	16714294;21772249;24614341;26151332;33589814	4R8P	1	0	PF13639(Zinc finger, RING-type)--PF00179(Ubiquitin-conjugating (UBC), catalytic core domain)[pdb=33]	
P35226	P68400	BMI1	CSNK2A1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P35226	P78364	BMI1	PHC1	Human Protein Atlas (HPA)	intact_biogrid_bioplex	0				0	0		
P35226	Q03111	BMI1	MLLT1	BioGRID		2	Reconstituted Complex	25921070		0	0		
P35226	Q03164	BMI1	KMT2A	BioGRID		1	Reconstituted Complex	12829790		0	0		
P35226	Q05516	BMI1	ZBTB16	BioGRID		4	Reconstituted Complex	12408802;19451220		0	0		
P35226	Q06587	BMI1	RING1	BioGRID;CORUM;Human Protein Atlas (HPA)	intact_biogrid	3	Reconstituted Complex;chromatography technology;coimmunoprecipitation	16359901;19451220;26151332;9858531		2	0	PF13639(Zinc finger, RING-type)--PF13639(Zinc finger, RING-type)[pdb=4] | PF16207(RAWUL domain)--PF16207(RAWUL domain)[pdb=5]	
P35226	Q8IXK0	BMI1	PHC2	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	2	Co-crystal Structure;Reconstituted Complex	27827373		0	0		
P35226	Q8IY57	BMI1	YAF2	Human Protein Atlas (HPA)	biogrid_bioplex	0				1	0	PF16207(RAWUL domain)--PF17219(Yaf2/RYBP C-terminal binding motif)[pdb=10]	
P35226	Q8N488	BMI1	RYBP	Human Protein Atlas (HPA)	biogrid_bioplex	0				1	0	PF16207(RAWUL domain)--PF17219(Yaf2/RYBP C-terminal binding motif)[pdb=10]	
P35226	Q93009	BMI1	USP7	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	2	Reconstituted Complex	20601937;20800574		0	0		
P35226	Q99496	BMI1	RNF2	BioGRID;CORUM;Human Protein Atlas (HPA);PDB	intact_biogrid	11	Co-crystal Structure;EM;NMR;Reconstituted Complex;X-ray;chromatography technology;coimmunoprecipitation	16359901;16714294;18650381;25355358;26151332;28073915;29402932;31093962	2H0D;3RPG;4R8P;7ND1;8GRM;8PP7;9DBY;9DDE;9DGG	2	0	PF13639(Zinc finger, RING-type)--PF13639(Zinc finger, RING-type)[pdb=4] | PF16207(RAWUL domain)--PF16207(RAWUL domain)[pdb=5]	
P35226	Q9HC52	BMI1	CBX8	Human Protein Atlas (HPA)	intact_biogrid	0				1	0	PF16207(RAWUL domain)--PF17218(CBX family C-terminal motif)[pdb=4]	
P35227	P51784	PCGF2	USP11	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	20601937		0	0		
P35227	P61077	PCGF2	UBE2D3	BioGRID		1	Reconstituted Complex	26151332		1	0	PF13639(Zinc finger, RING-type)--PF00179(Ubiquitin-conjugating (UBC), catalytic core domain)[pdb=33]	
P35227	P78364	PCGF2	PHC1	Human Protein Atlas (HPA)	intact_biogrid_bioplex	0				0	0		
P35227	Q03933	PCGF2	HSF2	BioGRID		1	Reconstituted Complex	18211895		0	0		
P35227	Q06587	PCGF2	RING1	CORUM;Human Protein Atlas (HPA)	intact_biogrid_bioplex	0	chromatography technology;coimmunoprecipitation	26151332		2	0	PF13639(Zinc finger, RING-type)--PF13639(Zinc finger, RING-type)[pdb=4] | PF16207(RAWUL domain)--PF16207(RAWUL domain)[pdb=5]	
P35227	Q14781	PCGF2	CBX2	BioGRID;Human Protein Atlas (HPA)	biogrid_bioplex	1	Reconstituted Complex	31093962		1	0	PF16207(RAWUL domain)--PF17218(CBX family C-terminal motif)[pdb=4]	
P35227	Q8IXK0	PCGF2	PHC2	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	31093962		0	0		
P35227	Q8IY57	PCGF2	YAF2	Human Protein Atlas (HPA)	biogrid_bioplex	0				1	0	PF16207(RAWUL domain)--PF17219(Yaf2/RYBP C-terminal binding motif)[pdb=10]	
P35227	Q8N488	PCGF2	RYBP	Human Protein Atlas (HPA)	biogrid_bioplex	0				1	0	PF16207(RAWUL domain)--PF17219(Yaf2/RYBP C-terminal binding motif)[pdb=10]	
P35227	Q93009	PCGF2	USP7	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	20601937		0	0		
P35227	Q99496	PCGF2	RNF2	BioGRID;CORUM;Human Protein Atlas (HPA)	intact_biogrid_bioplex	4	Reconstituted Complex;chromatography technology;coimmunoprecipitation	17936708;26151332;31093962		2	0	PF13639(Zinc finger, RING-type)--PF13639(Zinc finger, RING-type)[pdb=4] | PF16207(RAWUL domain)--PF16207(RAWUL domain)[pdb=5]	
P35227	Q9HC52	PCGF2	CBX8	Human Protein Atlas (HPA)	intact_biogrid_bioplex	0				1	0	PF16207(RAWUL domain)--PF17218(CBX family C-terminal motif)[pdb=4]	
P35398	P51843	RORA	NR0B1	Human Protein Atlas (HPA)	intact_biogrid	0				3	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF14046(Nuclear receptor repeat)[pdb=1] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16]	
P35398	Q09472	RORA	EP300	BioGRID		1	Reconstituted Complex	9862959		0	0		
P35398	Q16665	RORA	HIF1A	BioGRID		1	Reconstituted Complex	14742449		0	0		
P35398	Q6STE5	RORA	SMARCD3	BioGRID		1	Reconstituted Complex	14701856		0	0		
P35452	Q92793	HOXD12	CREBBP	BioGRID		1	Reconstituted Complex	11585930		0	0		
P35452	Q9ULX9	HOXD12	MAFF	BioGRID		1	Reconstituted Complex	11036080		0	0		
P35452	Q9Y5Q3	HOXD12	MAFB	BioGRID		1	Reconstituted Complex	11036080		0	0		
P35453	Q92793	HOXD13	CREBBP	BioGRID		1	Reconstituted Complex	11585930		0	0		
P35659	P68400	DEK	CSNK2A1	Human Protein Atlas (HPA)	intact_biogrid_opencell	0				0	0		
P35659	P84243	DEK	H3-3A	PDB		1	EM		9L1X	0	0		
P35659	Q9UER7	DEK	DAXX	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P35711	Q12857	SOX5	NFIA	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P35712	Q12857	SOX6	NFIA	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P35712	Q13547	SOX6	HDAC1	BioGRID		1	Reconstituted Complex	17412698		0	0		
P35713	Q06413	SOX18	MEF2C	BioGRID		1	Reconstituted Complex	11554755		0	0		
P35789	Q13263	ZNF93	TRIM28	BioGRID;PDB		3	Reconstituted Complex;X-ray	31289231;36341546	7Z36	0	0		
P35869	P38398	AHR	BRCA1	BioGRID		1	Reconstituted Complex	18259752		0	0		
P35869	P49848	AHR	TAF6	BioGRID		1	Reconstituted Complex	15641800		0	0		
P35869	P51532	AHR	SMARCA4	BioGRID		1	Reconstituted Complex	11805098		0	0		
P35869	Q13620	AHR	CUL4B	BioGRID		2	Reconstituted Complex	17392787		0	0		
P35869	Q15596	AHR	NCOA2	BioGRID		1	Reconstituted Complex	15641800		3	0	PF00989(PAS fold)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=13] | PF00989(PAS fold)--PF00989(PAS fold)[pdb=128] | PF08447(PAS fold 3)--PF00989(PAS fold)[pdb=12]	
P35869	Q15788	AHR	NCOA1	BioGRID		2	Reconstituted Complex	12024042;15641800		2	0	PF00989(PAS fold)--PF00989(PAS fold)[pdb=128] | PF08447(PAS fold 3)--PF00989(PAS fold)[pdb=12]	
P35869	Q16594	AHR	TAF9	BioGRID		1	Reconstituted Complex	15641800		0	0		
P35869	Q16665	AHR	HIF1A	BioGRID		1	Reconstituted Complex	16520375		5	0	PF00989(PAS fold)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=13] | PF00989(PAS fold)--PF00989(PAS fold)[pdb=128] | PF00989(PAS fold)--PF08447(PAS fold 3)[pdb=12] | PF08447(PAS fold 3)--PF00989(PAS fold)[pdb=12] | PF08447(PAS fold 3)--PF08447(PAS fold 3)[pdb=12]	
P35869	Q9HBZ2	AHR	ARNT2	BioGRID		1	Reconstituted Complex	18096572		1	0	PF00989(PAS fold)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=13]	
P35869	Q9Y618	AHR	NCOR2	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	2	Reconstituted Complex	10395741;12139968		0	0		
P36402	Q9Y5K5	TCF7	UCHL5	BioGRID		1	Reconstituted Complex	28198400		0	0		
P36956	P41235	SREBF1	HNF4A	BioGRID		1	Reconstituted Complex	17636037		0	0		
P36956	P51843	SREBF1	NR0B1	BioGRID		1	Reconstituted Complex	11713202		0	0		
P36956	Q09472	SREBF1	EP300	BioGRID		2	Reconstituted Complex	10235267;12640139		0	0		
P36956	Q13562	SREBF1	NEUROD1	BioGRID		2	Reconstituted Complex	16055439		1	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92]	
P36956	Q6STE5	SREBF1	SMARCD3	BioGRID		1	Reconstituted Complex	14701856		0	0		
P36956	Q8WVJ9	SREBF1	TWIST2	BioGRID		1	Reconstituted Complex	14654692		1	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92]	
P36956	Q92793	SREBF1	CREBBP	BioGRID		6	Far Western;Reconstituted Complex	10235267;16799563;8918891;9651391;9765204		0	0		
P36956	Q92922	SREBF1	SMARCC1	BioGRID		1	Reconstituted Complex	17074803		0	0		
P36956	Q96EB6	SREBF1	SIRT1	BioGRID		1	Reconstituted Complex	20817729		0	0		
P36956	Q9HCS4	SREBF1	TCF7L1	BioGRID		1	Reconstituted Complex	16055439		0	0		
P36956	Q9Y2Y9	SREBF1	KLF13	BioGRID		1	Reconstituted Complex	16303770		0	0		
P37231	P39687	PPARG	ANP32A	BioGRID;CORUM		1	Reconstituted Complex;coimmunoprecipitation	15308690		0	0		
P37231	P40763	PPARG	STAT3	CORUM		0	coimmunoprecipitation	14975242		0	0		
P37231	P42226	PPARG	STAT6	BioGRID		1	Reconstituted Complex	21093321		0	0		
P37231	P51843	PPARG	NR0B1	BioGRID		2	Reconstituted Complex	18381063		3	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF14046(Nuclear receptor repeat)[pdb=1] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16]	
P37231	P55055	PPARG	NR1H2	BioGRID;CORUM		2	Reconstituted Complex;surface plasmon resonance	15722453		4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P37231	P55345	PPARG	PRMT2	CORUM		0	gst pull down	12039952		0	0		
P37231	P56524	PPARG	HDAC4	BioGRID		2	Reconstituted Complex	12943985;21605119		0	0		
P37231	Q00535	PPARG	CDK5	BioGRID		1	Reconstituted Complex	31319193		0	0		
P37231	Q04206	PPARG	RELA	BioGRID		2	Reconstituted Complex	14587029;17312272		0	0		
P37231	Q09472	PPARG	EP300	BioGRID		3	Reconstituted Complex	10075656;12479814;14701856		0	0		
P37231	Q12778	PPARG	FOXO1	BioGRID		1	Reconstituted Complex	12966085		0	0		
P37231	Q13133	PPARG	NR1H3	BioGRID;CORUM		2	Reconstituted Complex;surface plasmon resonance	15722453		4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
P37231	Q13526	PPARG	PIN1	BioGRID		1	Reconstituted Complex	19996102		0	0		
P37231	Q13547	PPARG	HDAC1	BioGRID		1	Reconstituted Complex	16407282		0	0		
P37231	Q15424	PPARG	SAFB	CORUM		0	fluorescent resonance energy transfer;gst pull down;two hybrid	16326836		0	0		
P37231	Q15596	PPARG	NCOA2	BioGRID;CORUM;PDB		2	Reconstituted Complex;X-ray;fluorescent resonance energy transfer	16373399;21220509	3DZU;3DZY;3E00	2	1	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF16279(Nuclear receptor coactivator 2/3, DUF4927)[pdb=2]	Q15596:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
P37231	Q15788	PPARG	NCOA1	BioGRID;CORUM;PDB		15	Co-crystal Structure;Reconstituted Complex;X-ray;gst pull down	11027271;15888456;16373399;17011503;17312272;17449869;20717101;22070604;23178929;30595551;30813326;9121466;9744270	1FM6;1FM9;1K74;2FVJ;2GTK;2HFP;2PRG;3CWD;3ET3;3FEJ;3FUR;3G9E;3H0A;3LMP;3QT0;3S9S;3T03;3V9Y;3VN2;4F9M;4FGY;4HEE;4Y29;5DSH;5DV3;5DV6;5DV8;5DVC;5DWL;5GTN;5GTO;5GTP;5JI0;5YCN;5YCP;6ICJ;6IJR;6IJS;6ILQ;6JQ7;6KTM;6KTN;7CXF;7CXH;7CXI;7CXJ;7CXK;7CXL;7WGO;7WGP;7WGQ;8HUM;8HUP	1	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62]	
P37231	Q16236	PPARG	NFE2L2	BioGRID		1	Reconstituted Complex	10930400		0	0		
P37231	Q5QJE6	PPARG	DNTTIP2	BioGRID;CORUM		1	Reconstituted Complex;gst pull down	15047147		0	0		
P37231	Q6STE5	PPARG	SMARCD3	BioGRID		2	Reconstituted Complex	14701856		0	0		
P37231	Q76L83	PPARG	ASXL2	CORUM		0	coimmunoprecipitation;gst pull down	21047783		0	0		
P37231	Q8IXJ9	PPARG	ASXL1	CORUM		0	coimmunoprecipitation;gst pull down	21047783		0	0		
P37231	Q92793	PPARG	CREBBP	BioGRID;PDB		6	Reconstituted Complex;X-ray	10622252;10848596;17312272;17704298;22070604	1RDT;7RLE	0	1		Q92793:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
P37231	Q92993	PPARG	KAT5	BioGRID		1	Reconstituted Complex	18096664		0	0		
P37231	Q96EB6	PPARG	SIRT1	CORUM;Human Protein Atlas (HPA)	intact_biogrid	0	chromatin immunoprecipitation assay;coimmunoprecipitation;gst pull down	20660480		0	0		
P37231	Q9NRC8	PPARG	SIRT7	BioGRID		1	Reconstituted Complex	33955199		0	0		
P37231	Q9UBK2	PPARG	PPARGC1A	BioGRID;Human Protein Atlas (HPA);PDB	intact_biogrid	12	Co-crystal Structure;Reconstituted Complex;X-ray	10558993;12502716;14636573;16373399;17011503;17704298;19596656;22070604;30595551;30651555	3B1M;3CS8;3U9Q;3V9T;3V9V;5TWO;5Z5S;5Z6S;6AD9;6FZF;6FZP;6IZM;6IZN;6K0T;6MS7;6T1V;8DK4;9F7W;9F7X	0	1		Q9UBK2:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
P37231	Q9UPT9	PPARG	USP22	BioGRID		1	Reconstituted Complex	35449157		0	0		
P37231	Q9Y4B4	PPARG	RAD54L2	BioGRID		1	Reconstituted Complex	19692572		0	0		
P37231	Q9Y618	PPARG	NCOR2	BioGRID;CORUM;PDB		5	Reconstituted Complex;X-ray;coimmunoprecipitation	14975242;16219912;17312272;17704298;30595551	6PDZ;7SQA;8AQM;8AQN;8B8W;8B8X;8B8Y;8B8Z;8B90;8B91;8B92;8B93;8B94;8B95	0	0		
P37231	Q9Y6Q9	PPARG	NCOA3	BioGRID;CORUM		2	Reconstituted Complex;fluorescent resonance energy transfer	11027271;15888456;21220509		2	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF16279(Nuclear receptor coactivator 2/3, DUF4927)[pdb=2]	
P37275	P56545	ZEB1	CTBP2	BioGRID;Human Protein Atlas (HPA)	biogrid_opencell	1	Reconstituted Complex	10567582		0	0		
P37275	Q13363	ZEB1	CTBP1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid_opencell	1	Reconstituted Complex	10567582		0	0		
P37275	Q93009	ZEB1	USP7	BioGRID		1	Reconstituted Complex	25086746		0	0		
P37275	Q9UPT9	ZEB1	USP22	BioGRID		1	Reconstituted Complex	36906615		0	0		
P38159	P52272	RBMX	HNRNPM	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
P38159	P62995	RBMX	TRA2B	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	12165565		0	0		
P38159	P84103	RBMX	SRSF3	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P38159	Q07666	RBMX	KHDRBS1	Human Protein Atlas (HPA)	intact_biogrid_opencell	0				0	0		
P38159	Q14151	RBMX	SAFB2	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
P38159	Q15424	RBMX	SAFB	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
P38159	Q8WWY3	RBMX	PRPF31	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P38159	Q92841	RBMX	DDX17	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
P38159	Q9NRW3	RBMX	APOBEC3C	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
P38398	P42224	BRCA1	STAT1	BioGRID		1	Reconstituted Complex	10792030		0	0		
P38398	P45973	BRCA1	CBX5	BioGRID		1	Reconstituted Complex	25634209		0	0		
P38398	P51532	BRCA1	SMARCA4	BioGRID		2	Reconstituted Complex	10943845		0	0		
P38398	P51587	BRCA1	BRCA2	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	2	Reconstituted Complex	19369211;9774970		0	0		
P38398	P51668	BRCA1	UBE2D1	BioGRID		13	Co-crystal Structure;Reconstituted Complex	11278247;12485996;12732733;12887909;12890688;14636569;14638690;16403807;19712108;19916563;24507701;27312108		1	0	PF00097(Zinc finger, C3HC4 RING-type)--PF00179(Ubiquitin-conjugating (UBC), catalytic core domain)[pdb=37]	
P38398	P51965	BRCA1	UBE2E1	BioGRID		4	Co-crystal Structure;Reconstituted Complex	19712108;21965653;37797621		1	0	PF00097(Zinc finger, C3HC4 RING-type)--PF00179(Ubiquitin-conjugating (UBC), catalytic core domain)[pdb=37]	
P38398	P52701	BRCA1	MSH6	BioGRID		1	Reconstituted Complex	11498787		0	0		
P38398	P61077	BRCA1	UBE2D3	BioGRID;PDB		33	Co-crystal Structure;EM;Reconstituted Complex	11927591;12438698;15367667;15886201;15905410;16543155;16818604;17283126;17392432;19088202;19712108;20351172;21531767;21532592;21756275;21965653;22863316;23246971;25355358;28415827;28564596;29180510;32092106;32726637;33589814;34321665;37305927;37633270;37797621	7LYB;8GRQ	1	0	PF00097(Zinc finger, C3HC4 RING-type)--PF00179(Ubiquitin-conjugating (UBC), catalytic core domain)[pdb=37]	
P38398	P61088	BRCA1	UBE2N	BioGRID		3	Co-crystal Structure;Reconstituted Complex	19712108;21965653		1	0	PF00097(Zinc finger, C3HC4 RING-type)--PF00179(Ubiquitin-conjugating (UBC), catalytic core domain)[pdb=37]	
P38398	P68400	BRCA1	CSNK2A1	BioGRID		1	Reconstituted Complex	10403822		0	1		P38398:MOD_PKB_1--PF00069(Protein kinase domain)
P38398	P78347	BRCA1	GTF2I	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	21407215		0	0		
P38398	P78527	BRCA1	PRKDC	BioGRID		2	Reconstituted Complex	25223785		0	0		
P38398	P83916	BRCA1	CBX1	BioGRID		1	Reconstituted Complex	25634209		0	0		
P38398	P84022	BRCA1	SMAD3	BioGRID;CORUM		2	Reconstituted Complex;anti tag coimmunoprecipitation;pull down	15735739		0	0		
P38398	Q01543	BRCA1	FLI1	BioGRID		1	Reconstituted Complex	11313879		0	0		
P38398	Q04206	BRCA1	RELA	BioGRID		2	Reconstituted Complex	12700228		0	0		
P38398	Q06609	BRCA1	RAD51	BioGRID;CORUM;Human Protein Atlas (HPA)	intact_biogrid	6	Far Western;Reconstituted Complex;anti bait coimmunoprecipitation	11498787;28976962;9008167;9774970		0	0		
P38398	Q08211	BRCA1	DHX9	BioGRID		1	Reconstituted Complex	9662397		0	0		
P38398	Q09028	BRCA1	RBBP4	BioGRID		1	Reconstituted Complex	10220405		0	0		
